TIME,METRIC VALUE
346.5361626148224,2.2579
349.67715787887573,1.4446
352.79791474342346,1.2925
355.90516924858093,1.2206
359.0184600353241,1.1061
362.16539788246155,1.1824
365.3239414691925,1.1804
368.53962421417236,1.4751
371.66636204719543,0.7654
374.7794089317322,1.2947
377.89602851867676,0.9185
381.005339384079,0.7705
384.1405713558197,0.7705
387.2482907772064,1.0385
390.4273159503937,0.8817
393.5526728630066,0.1936
396.7826609611511,1.4113
399.93414068222046,1.1804
403.09680938720703,1.556
406.25441098213196,1.5507
409.3969395160675,1.2947
412.5625400543213,0.9536
415.7039158344269,0.805
418.87529277801514,1.2545
422.01005029678345,1.0281
425.2038290500641,1.3305
428.3455924987793,1.4089
431.4600639343262,1.1098
434.6336045265198,0.8433
437.73506808280945,0.8846
440.8634264469147,0.9984
444.0667254924774,0.7271
447.24015760421753,0.8419
450.38630986213684,1.1043
453.52859711647034,1.4446
456.84896206855774,1.5455
459.9981622695923,1.326
463.16093707084656,1.1765
466.3223214149475,0.9536
469.51986050605774,0.9552
472.6701536178589,1.1024
475.8218557834625,1.1804
478.9709985256195,1.1098
482.1244068145752,1.1844
485.2529833316803,0.8064
488.3653507232666,1.1117
491.51801228523254,0.92
494.743093252182,1.1424
497.9018392562866,1.556
501.08217549324036,1.2925
504.30586290359497,1.1443
507.4903995990753,1.0316
510.6615824699402,1.4751
513.8539218902588,1.4421
517.0533344745636,0.9536
520.2156898975372,1.4042
523.3962235450745,0.7283
526.5544474124908,1.0316
529.7115013599396,0.9185
532.857617855072,0.9584
535.9894864559174,0.768
539.1562774181366,0.805
542.2977628707886,0.6912
545.4725003242493,1.2968
548.6645872592926,1.6992
551.8566658496857,1.1043
555.0813374519348,1.0281
558.3096451759338,1.3238
561.4776618480682,0.9139
564.6697311401367,1.1006
567.8666899204254,1.2144
571.0232353210449,1.0298
574.198422908783,0.9169
577.4659836292267,1.2925
580.6376919746399,1.4065
583.7795460224152,0.8802
586.9350426197052,0.7296
590.1394548416138,1.1462
593.2913298606873,0.8433
596.5222036838531,1.9535
599.8780224323273,1.5886
603.0497009754181,1.1043
606.2370057106018,1.4373
609.4579644203186,1.2165
612.7213275432587,0.8391
615.8907339572906,1.4726
619.0777597427368,1.5455
622.2613034248352,1.3616
625.4835479259491,1.4726
628.6794219017029,1.1024
631.8247113227844,1.0298
634.9745194911957,1.0333
638.1511266231537,1.108
641.3177781105042,0.9169
644.4799494743347,1.1443
647.7705554962158,1.6614
651.0048515796661,1.3238
654.3563811779022,0.8363
657.5486011505127,1.1424
660.7763645648956,1.2925
664.0187485218048,1.3238
667.3380517959595,1.4018
670.5864911079407,1.1043
673.8169476985931,1.0608
677.0542974472046,1.1385
680.2562143802643,1.2524
683.4607071876526,0.8802
686.6679146289825,1.1043
689.8560583591461,0.9185
693.0056259632111,0.8433
696.1852884292603,0.7667
699.4355609416962,0.8037
702.6898806095123,1.8408
705.8915555477142,1.1784
709.2152824401855,1.5507
712.4429490566254,1.1804
715.6638371944427,1.2947
718.8983767032623,1.2185
722.2121756076813,1.3685
725.4333872795105,1.2968
728.6562936306,1.2608
732.0033345222473,1.3305
735.156982421875,1.3012
738.3699281215668,1.0333
741.5607264041901,1.2566
744.7966084480286,0.8433
747.9862580299377,1.108
751.257746219635,1.5859
