TIME,METRIC VALUE
2.026796340942383,99
5.12514066696167,99
8.206406831741333,99
11.28707242012024,99
14.375443458557129,99
17.463210105895996,99
20.53973698616028,99
23.62778353691101,99
26.712465524673462,98
29.793206691741943,97
32.87193179130554,98
35.94289708137512,96
39.01330280303955,97
42.08797764778137,95
45.16607928276062,98
48.28821659088135,96
51.37123227119446,97
54.458499908447266,99
57.54842686653137,99
60.630815267562866,99
63.71582269668579,97
66.81325912475586,99
69.89832520484924,98
72.99757766723633,99
76.07097721099854,98
79.16119813919067,99
82.25213122367859,98
85.33200478553772,98
88.4075882434845,99
91.48545145988464,96
94.57095050811768,96
97.68623566627502,92
100.77874803543091,99
103.87703156471252,99
106.97231769561768,99
110.07534551620483,99
113.18121027946472,99
116.30479788780212,99
119.40253138542175,98
122.50092959403992,99
125.61100316047668,99
128.6990509033203,99
131.78642749786377,95
134.87037897109985,98
137.96244597434998,95
141.03622245788574,99
144.12060642242432,99
147.20998883247375,97
150.3116307258606,93
153.40735840797424,96
156.50858330726624,99
159.6264111995697,99
162.71976566314697,99
165.82781553268433,99
168.9235281944275,98
172.03920197486877,98
175.1581416130066,99
178.25862765312195,96
181.3425166606903,98
184.43653059005737,97
187.52712559700012,98
190.61296939849854,99
193.70257353782654,99
196.82057523727417,5
199.9340591430664,99
203.02725481987,96
206.16133952140808,99
209.26311206817627,99
212.3659565448761,97
215.47599482536316,99
218.57608318328857,99
221.6777822971344,97
224.7810287475586,98
227.88692450523376,98
230.9823498725891,98
234.07284927368164,96
237.177081823349,96
240.28274607658386,98
243.36748361587524,99
246.50352454185486,99
249.6173768043518,99
252.73084020614624,99
255.860426902771,99
259.02116107940674,90
262.1421275138855,98
265.2766811847687,99
268.38545536994934,99
271.49011754989624,98
274.6025378704071,98
277.7049934864044,99
280.8343126773834,98
283.92185497283936,94
287.0098092556,96
290.12993478775024,99
293.2298631668091,96
296.4000942707062,92
299.52454805374146,99
302.68912959098816,99
305.8380742073059,96
308.9672408103943,99
312.0970096588135,99
315.22263288497925,94
318.3324761390686,99
321.46748399734497,99
324.6158535480499,99
327.74839973449707,96
330.8459322452545,96
333.95038294792175,94
337.0664246082306,98
340.1767337322235,96
343.28168535232544,99
346.5361626148224,88
349.67715787887573,99
352.79791474342346,99
355.90516924858093,99
359.0184600353241,96
362.16539788246155,98
365.3239414691925,98
368.53962421417236,98
371.66636204719543,99
374.7794089317322,98
377.89602851867676,99
381.005339384079,97
384.1405713558197,99
387.2482907772064,99
390.4273159503937,96
393.5526728630066,97
396.7826609611511,88
399.93414068222046,99
403.09680938720703,99
406.25441098213196,97
409.3969395160675,98
412.5625400543213,99
415.7039158344269,99
418.87529277801514,99
422.01005029678345,95
425.2038290500641,99
428.3455924987793,95
431.4600639343262,96
434.6336045265198,98
437.73506808280945,96
440.8634264469147,99
444.0667254924774,2
447.24015760421753,85
450.38630986213684,98
453.52859711647034,99
456.84896206855774,99
459.9981622695923,99
463.16093707084656,97
466.3223214149475,99
469.51986050605774,97
472.6701536178589,97
475.8218557834625,99
478.9709985256195,97
482.1244068145752,97
485.2529833316803,99
488.3653507232666,96
491.51801228523254,96
494.743093252182,0
497.9018392562866,95
501.08217549324036,99
504.30586290359497,99
507.4903995990753,97
510.6615824699402,99
513.8539218902588,99
517.0533344745636,98
520.2156898975372,99
523.3962235450745,98
526.5544474124908,96
529.7115013599396,99
532.857617855072,96
535.9894864559174,99
539.1562774181366,98
542.2977628707886,99
545.4725003242493,0
548.6645872592926,92
551.8566658496857,99
