TIME,METRIC VALUE
2.5761070251464844,1647
5.078435182571411,1888
7.64625096321106,1888
10.207710981369019,1933
12.742457389831543,1931
15.251626014709473,1560
17.75719428062439,1560
20.271414041519165,1568
22.7813241481781,1519
25.278319597244263,1520
27.780202627182007,1520
30.286887168884277,1520
32.78521656990051,1520
35.28480911254883,1521
36.55424666404724,1521
37.54328179359436,1522
37.7773220539093,1521
39.978806495666504,1523
40.27937889099121,1523
41.551862955093384,1522
42.54179930686951,1537
42.76515460014343,1523
44.53986120223999,1524
45.26065397262573,1524
46.52837562561035,1523
47.53429818153381,1525
47.75069522857666,1525
49.53211808204651,1524
50.248307943344116,1525
51.989540576934814,1525
52.534512519836426,1525
52.75294804573059,1529
54.58790397644043,1429
55.272562742233276,1505
56.60788130760193,1857
57.78933763504028,1902
58.552573442459106,1903
59.55018496513367,1902
60.28420042991638,1902
61.60011148452759,1904
62.610196590423584,1905
62.80617880821228,1941
64.6024169921875,1943
65.32968091964722,1943
66.55673289299011,1943
67.56041812896729,1944
67.85118389129639,1943
69.98704695701599,1570
70.36166596412659,1570
71.53317260742188,1570
72.55715656280518,1571
72.87044787406921,1570
74.56268763542175,1575
75.37593626976013,1528
76.55478048324585,1528
77.57455110549927,1529
77.87977647781372,1528
79.5542802810669,1529
80.37668061256409,1529
82.00215768814087,1529
82.55016922950745,1529
82.88044953346252,1530
84.58130812644958,1529
85.3943305015564,1531
86.55664205551147,1529
87.89119577407837,1528
88.56939697265625,1529
89.57123684883118,1529
90.39740109443665,1529
91.54972910881042,1529
92.55676174163818,1529
92.8973376750946,1530
94.53225898742676,1529
95.41833066940308,1530
96.55086779594421,1535
97.55182433128357,1530
97.94472551345825,1530
99.9891848564148,1530
100.43665671348572,1530
101.55136179924011,1531
102.54280757904053,1532
102.9392192363739,1531
104.5541524887085,1531
105.43004727363586,1531
106.58299684524536,1531
107.60404419898987,1447
107.95629978179932,1436
109.58716893196106,1671
110.47498893737793,1871
111.98664736747742,1911
112.55670690536499,1911
112.98411083221436,1911
114.56930470466614,1909
115.49244999885559,1910
116.54649114608765,1948
117.98915934562683,1951
118.02285742759705,1952
119.57842516899109,1949
120.54462456703186,1949
121.58631825447083,1578
122.55922293663025,1578
123.04176545143127,1576
124.5592577457428,1577
125.55613875389099,1577
126.58076119422913,1577
127.57023024559021,1577
128.0765347480774,1536
129.99161839485168,1534
130.5623757839203,1534
130.6413323879242,1533
132.56132078170776,1534
133.1594181060791,1533
134.56671714782715,1532
135.6811079978943,1533
136.5619661808014,1535
137.5598850250244,1535
138.18665051460266,1534
139.5773947238922,1534
140.56336617469788,1549
140.70136666297913,1535
142.5514485836029,1535
143.22078037261963,1535
144.54183268547058,1534
145.55434608459473,1536
145.73551392555237,1536
147.97554969787598,1535
148.2353777885437,1535
149.55156254768372,1535
150.5518672466278,1536
150.73616886138916,1535
152.53896117210388,1535
153.2387571334839,1535
154.54958319664001,1535
155.54484915733337,1536
155.7369406223297,1535
157.5585584640503,1536
158.24586749076843,1535
159.9826626777649,1537
160.6337821483612,1440
160.90661311149597,1440
162.59118747711182,1582
163.47473049163818,1872
164.57826375961304,1912
166.005708694458,1913
166.032368183136,1913
167.55024123191833,1913
168.56347608566284,1914
169.5736117362976,1952
170.58438062667847,1951
171.07078003883362,1952
172.58452796936035,1953
173.59845662117004,1954
173.6107223033905,1954
175.59554481506348,1582
176.17662811279297,1581
177.97185492515564,1582
178.5651547908783,1583
178.6827404499054,1584
180.58708143234253,1582
181.19743394851685,1582
182.55011177062988,1540
183.72813773155212,1544
184.55366730690002,1542
185.5758078098297,1542
186.23907947540283,1541
187.5572829246521,1541
188.55968976020813,1542
188.75014781951904,1541
190.55476689338684,1542
191.2674789428711,1541
192.55214476585388,1541
193.56055068969727,1543
193.79818558692932,1541
196.02081537246704,1539
196.3245189189911,1539
197.57152462005615,1539
198.55693793296814,1540
198.84246563911438,1539
200.54475831985474,1540
201.34629440307617,1540
202.5359070301056,1538
203.55970907211304,1540
203.84932279586792,1539
205.55633568763733,1539
206.35146737098694,1541
207.96943855285645,1541
208.55227828025818,1541
208.86028265953064,1540
210.54918503761292,1540
211.36525511741638,1541
212.55925583839417,1541
213.8891625404358,1542
214.63828420639038,1447
215.69508957862854,1514
216.6836383342743,1685
217.64441657066345,1888
218.57398080825806,1919
219.21234321594238,1919
220.5508096218109,1919
221.56493616104126,1921
221.73466110229492,1919
223.57089114189148,1957
224.31865000724792,1957
225.999769449234,1958
226.61615920066833,1959
226.88074612617493,1959
228.57100009918213,1960
229.41559219360352,1588
230.56449007987976,1587
231.9265387058258,1588
232.5613555908203,1588
233.59999060630798,1589
234.43460702896118,1588
235.58320951461792,1544
236.59927010536194,1546
236.95536255836487,1546
238.5815463066101,1552
239.50106263160706,1547
240.58908867835999,1546
241.62001752853394,1548
242.02544164657593,1547
244.03246212005615,1546
244.5514268875122,1546
245.57818126678467,1547
246.59187579154968,1548
247.07158613204956,1547
248.5800485610962,1546
249.59241271018982,1553
250.57461595535278,1547
251.58759951591492,1548
252.10989260673523,1547
253.5670599937439,1547
254.6034038066864,1548
254.63538193702698,1548
256.5933771133423,1547
257.1963815689087,1548
258.5831370353699,1548
259.6024467945099,1549
259.75525069236755,1549
262.00196075439453,1548
262.2625937461853,1549
263.5438334941864,1548
264.55191946029663,1548
264.77746772766113,1548
266.55439591407776,1547
267.29745388031006,1547
268.6405601501465,1453
269.65394926071167,1524
269.8711898326874,1541
271.5892903804779,1896
272.4272286891937,1924
274.02307963371277,1924
274.6014127731323,1924
274.95783615112305,1924
276.634370803833,1924
277.4881498813629,1961
278.61463379859924,1961
280.03540873527527,1962
280.60533261299133,1963
281.59972739219666,1965
282.60719752311707,1604
282.63105726242065,1602
284.55840039253235,1593
285.12700963020325,1593
